"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,12348,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,12405,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,14448,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,15898,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,17289,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,18152,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,17686,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,19146,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,17290,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,12068,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,10924,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,9941,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,9895,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,9138,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,9772,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,9844,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,11564,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,11758,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,11538,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,12403,,
"IRL","Ireland","T-GOODS-RD-TOT","Road freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,11383,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,3332,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,3556,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,3921,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,4504,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,5274,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,5490,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,5193,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,5345,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,5071,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,3474,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,3081,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,2399,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,2281,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,2169,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,2156,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,2334,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,2681,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,3051,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,3208,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,3458,,
"IRL","Ireland","T-GOODS-RD-OWN","Road freight transport on own account","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,3138,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,9016,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,8849,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,10527,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,11394,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,12015,,
"IRL","Ireland","T-GOODS-RD-REW","Road freight transport for hire and reward","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,12662,,
